_id,pais_de_origen,sector_subsector_rama,anio,trimestre,fecha,millones_de_dolares,fn_millones_de_dolares
587663,Uruguay,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
587801,"Venezuela, República Bolivariana de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
484317,Bélgica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2021,1,2021-03-01,0,0.0
521267,Nueva Zelandia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2022,1,2022-03-01,0,0.0
516296,Australia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2022,1,2022-03-01,0,0.0
458857,"Venezuela, República Bolivariana de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2020,1,2020-03-01,0,0.0
521343,Países Bajos,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2022,1,2022-03-01,0,0.0
521803,Perú,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2022,1,2022-03-01,0,0.0
458719,Uruguay,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2020,1,2020-03-01,0,0.0
457746,Reino Unido de la Gran Bretaña e Irlanda del Norte,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2020,1,2020-03-01,0,0.0
455377,Guatemala,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2020,1,2020-03-01,0,0.0
454529,Estados Unidos de América,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2020,1,2020-03-01,11.150085960000004,11.150085960000004
391430,Israel,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
391318,Irlanda,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
390442,Federación de Rusia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
389280,Costa Rica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
388357,Chile,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,C,
388044,Canadá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,C,
387103,Argentina,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
362386,Otros países,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
361370,Singapur,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
360423,Panamá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
453270,Colombia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2020,1,2020-03-01,0,0.0
452294,Brasil,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2020,1,2020-03-01,C,
360163,Países Bajos,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
359194,Israel,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
359082,Irlanda,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
358954,India,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
357044,Costa Rica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
356817,"Corea, República de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
355808,Canadá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
354867,Argentina,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
354597,Alemania,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2017,1,2017-03-01,0,0.0
329452,Suiza,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,C,
32507,Argentina,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0,0.0
33448,Canadá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0.0042650000000000006,0.004265
33761,Chile,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0,0.0
34684,Costa Rica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0,0.0
35846,Federación de Rusia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0,0.0
36722,Irlanda,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0,0.0
36834,Israel,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,C,
36981,Italia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0,0.0
37803,Países Bajos,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,C,
38063,Panamá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0,0.0
39010,Singapur,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0,0.0
40026,Otros países,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,2007-03-01,0,0.0
452242,Belice,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2020,1,2020-03-01,0,0.0
452081,Bélgica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2020,1,2020-03-01,0,0.0
548283,Argentina,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,0,0.0
426160,Suiza,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2019,1,2019-03-01,0,0.0
548789,Bélgica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,0,0.0
425510,Reino Unido de la Gran Bretaña e Irlanda del Norte,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2019,1,2019-03-01,0,0.0
424559,Nueva Zelandia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2019,1,2019-03-01,0,0.0
423426,India,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2019,1,2019-03-01,0,0.0
549748,"China, República Popular de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,0,0.0
328387,Perú,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
328187,Panamá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
327363,Japón,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
